Time,Y,Vy
0.0006,0.949998,-0.002943
0.00132,0.949994,-0.00553648
0.002184,0.949987,-0.00872013
0.0032208,0.949974,-0.0124567
0.00446496,0.949953,-0.0168981
0.00595795,0.94992,-0.0221769
0.00774954,0.949868,-0.0285765
0.00989945,0.949791,-0.0361854
0.0124793,0.949673,-0.0454313
0.0155752,0.9495,-0.0561762
0.0192903,0.949246,-0.0683641
0.0237483,0.948875,-0.0830513
0.029098,0.948353,-0.0976873
0.0355176,0.947607,-0.116221
0.0429579,0.946629,-0.131421
0.0512565,0.945414,-0.146343
0.0588304,0.944259,-0.152512
0.065644,0.943154,-0.162211
0.0721836,0.942062,-0.16692
0.0783407,0.941017,-0.169771
0.084327,0.939976,-0.173998
0.0902143,0.938922,-0.178892
0.095947,0.93787,-0.183556
0.101509,0.936825,-0.187901
0.106927,0.935785,-0.191936
0.112219,0.934749,-0.195696
0.117401,0.933719,-0.198855
0.122484,0.932693,-0.201749
0.127487,0.931671,-0.204371
0.132419,0.930651,-0.206785
0.137287,0.929634,-0.209021
0.1421,0.928618,-0.211105
0.146861,0.927604,-0.213003
0.151577,0.92659,-0.214819
0.156256,0.925576,-0.216866
0.160896,0.92456,-0.218892
0.165488,0.923546,-0.22088
0.170032,0.922533,-0.222795
0.17453,0.921523,-0.224613
0.178986,0.920514,-0.226332
0.183402,0.919508,-0.227952
0.187782,0.918503,-0.22948
0.192127,0.917499,-0.230924
0.196441,0.916497,-0.232289
0.200726,0.915496,-0.233583
0.204983,0.914497,-0.234815
0.209214,0.913498,-0.23599
0.213422,0.912501,-0.237116
0.217606,0.911504,-0.238199
0.22177,0.910508,-0.239244
0.225913,0.909512,-0.240255
0.230036,0.908518,-0.241235
0.234141,0.907524,-0.242187
0.238228,0.90653,-0.243115
0.242298,0.905537,-0.24402
0.246352,0.904544,-0.244905
0.25039,0.903551,-0.245769
0.254413,0.902559,-0.246614
0.258421,0.901568,-0.24744
0.262413,0.900577,-0.248241
0.266385,0.899587,-0.249005
0.270338,0.8986,-0.249755
0.274272,0.897615,-0.250476
0.278191,0.896631,-0.2512
0.282095,0.895648,-0.251669
0.285978,0.89467,-0.251822
0.289843,0.893696,-0.252006
0.293689,0.892726,-0.252259
0.297519,0.891758,-0.252645
0.301333,0.890793,-0.253181
0.305132,0.889828,-0.253872
0.308918,0.888865,-0.254565
0.312689,0.887902,-0.255364
0.316442,0.88694,-0.25625
0.32018,0.885978,-0.257321
0.323902,0.885016,-0.258476
0.327611,0.884053,-0.259597
0.331307,0.883091,-0.260324
0.33499,0.882126,-0.261912
0.338662,0.881167,-0.261202
0.342321,0.880212,-0.261069
0.345967,0.879258,-0.26159
0.349601,0.878309,-0.261209
0.353216,0.877366,-0.260918
0.356812,0.87643,-0.26028
0.36039,0.875503,-0.258972
0.36395,0.874584,-0.258185
0.367497,0.873668,-0.258051
0.371037,0.872754,-0.258409
0.37457,0.871841,-0.258348
0.378093,0.87093,-0.258616
0.38161,0.870018,-0.259321
0.385124,0.869102,-0.260746
0.38864,0.868173,-0.263977
0.392158,0.867245,-0.264009
0.395671,0.866315,-0.264604
0.399183,0.865388,-0.263907
0.402693,0.864466,-0.262779
0.4062,0.863549,-0.261547
0.409706,0.862634,-0.260867
0.413207,0.86172,-0.261078
0.416703,0.860809,-0.26058
0.420191,0.8599,-0.260583
0.423671,0.858992,-0.260882
0.427143,0.858083,-0.26203
0.430613,0.857162,-0.265184
0.43408,0.856242,-0.265353
0.437541,0.855322,-0.265893
0.440999,0.854406,-0.265049
0.444453,0.853496,-0.263423
0.447906,0.85259,-0.262287
0.451359,0.851686,-0.261853
0.45481,0.850782,-0.261845
0.458259,0.84988,-0.261596
0.461704,0.848978,-0.261811
0.465143,0.848074,-0.262801
0.468579,0.847163,-0.265365
0.472007,0.84625,-0.266092
0.475431,0.845339,-0.266178
0.478852,0.844431,-0.265508
0.482273,0.843529,-0.263613
0.485694,0.84263,-0.262608
0.489118,0.841731,-0.262543
0.492542,0.840834,-0.262059
0.495965,0.839937,-0.262084
0.499385,0.839038,-0.26287
0.502803,0.838131,-0.265327
0.506215,0.837222,-0.266525
0.509623,0.836314,-0.266476
0.513027,0.835408,-0.265943
0.516429,0.834509,-0.264529
0.519831,0.833612,-0.263471
0.523236,0.832716,-0.263247
0.526641,0.83182,-0.263215
0.530047,0.830922,-0.263494
0.533452,0.83002,-0.264851
0.536856,0.829111,-0.266966
0.540257,0.828204,-0.266901
0.543654,0.827294,-0.267882
0.547047,0.826386,-0.267653
0.550435,0.825483,-0.266383
0.55382,0.824585,-0.265386
0.557211,0.823685,-0.265407
0.560602,0.822785,-0.265354
0.563995,0.821883,-0.265746
0.567389,0.820977,-0.267206
0.570781,0.820064,-0.26904
0.57417,0.819152,-0.269237
0.577553,0.818241,-0.268984
0.58093,0.81733,-0.269859
0.5843,0.816423,-0.269124
0.587661,0.815525,-0.267401
0.591019,0.814628,-0.266837
0.594379,0.813732,-0.266705
0.597736,0.812838,-0.266428
0.601092,0.811943,-0.266697
0.604449,0.811043,-0.268095
0.607808,0.810137,-0.269633
0.611166,0.809228,-0.270697
0.614525,0.80832,-0.27034
0.617887,0.807413,-0.269636
0.621253,0.806513,-0.267546
0.624624,0.805616,-0.266138
0.628,0.804719,-0.265715
0.631381,0.803823,-0.264954
0.634764,0.802928,-0.264646
0.638132,0.802033,-0.265503
0.641485,0.801136,-0.267713
0.644821,0.800243,-0.2678
0.648143,0.799351,-0.268512
0.651455,0.798464,-0.267568
0.65476,0.797584,-0.266255
0.658054,0.79671,-0.265497
0.661339,0.795836,-0.266069
0.664619,0.794956,-0.268235
0.667898,0.794072,-0.269691
0.671167,0.79319,-0.269734
0.674431,0.792311,-0.269212
0.677691,0.791432,-0.269769
0.68095,0.790552,-0.269803
0.684204,0.789674,-0.269837
0.68745,0.788796,-0.270564
0.690689,0.787917,-0.271439
0.693924,0.787036,-0.27237
0.697159,0.786154,-0.272715
0.700391,0.78527,-0.273482
0.703621,0.784388,-0.272966
0.706852,0.783506,-0.272918
0.710089,0.782621,-0.273596
0.713329,0.781731,-0.274441
0.716574,0.780839,-0.274918
0.719828,0.779941,-0.275945
0.723095,0.779036,-0.277248
0.726371,0.778126,-0.277735
0.729659,0.777212,-0.277862
0.732958,0.776295,-0.278092
0.736268,0.775376,-0.277672
0.739592,0.774453,-0.277512
0.742929,0.773524,-0.278492
0.746283,0.772585,-0.280028
0.749644,0.771642,-0.280308
0.752996,0.770703,-0.280234
0.756339,0.769764,-0.280831
0.75967,0.768828,-0.281119
0.762974,0.767898,-0.281459
0.766268,0.766971,-0.281541
0.76956,0.766042,-0.281939
0.772839,0.765118,-0.282015
0.7761,0.764198,-0.28185
0.779352,0.763283,-0.281498
0.782586,0.762375,-0.280786
0.7858,0.761476,-0.279864
0.788993,0.760583,-0.279568
0.792168,0.759694,-0.279972
0.795327,0.758811,-0.279572
0.798473,0.757931,-0.279635
0.801597,0.757057,-0.279744
0.804699,0.75619,-0.27962
0.807782,0.755332,-0.278297
0.810852,0.754478,-0.278122
0.813905,0.75363,-0.277575
0.816942,0.752788,-0.277498
0.819969,0.751946,-0.277936
0.822987,0.751105,-0.278772
0.82599,0.750271,-0.277854
0.828984,0.749441,-0.277214
0.831976,0.74861,-0.277698
0.83496,0.747781,-0.277776
0.837944,0.746951,-0.278022
0.84093,0.746121,-0.278173
0.843914,0.74529,-0.278295
0.846904,0.74446,-0.277633
0.849901,0.743627,-0.278176
0.852905,0.742788,-0.279182
0.855923,0.741943,-0.279865
0.858954,0.741092,-0.280915
0.862,0.740237,-0.280611
0.865069,0.739376,-0.280477
0.868158,0.738511,-0.280007
